id,section_number,title,short_description,mapped_category,punishment,bailability_status,court_jurisdiction,full_legal_text,urgency_label
126,126,Committing depredation on territories of Power at peace with the Government of India,"Whoever commits depredation, or makes preparations to commit depredation, on the territories of any Power in alliance or at peace with the Government of India, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine and to forfeiture of any property used or intended to be used in committing such depredation.",Offences Against the State,"Imprisonment for 7 years, fine, and forfeiture of property.",Non-Bailable,Court of Session,"Whoever commits depredation, or makes preparations to commit depredation, on the territories of any Power in alliance or at peace with the Government of India, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine and to forfeiture of any property used or intended to be used in committing such depredation, or obtained by such depredation.",Low
127,127,Receiving property taken by war or depredation mentioned in sections 125 and 126,"Whoever receives any property knowing the same to have been taken in the commission of any of the offences mentioned in sections 125 and 126, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine and to forfeiture of the property so received.",Offences Against the State,"Imprisonment for 7 years, fine, and forfeiture of property.",Non-Bailable,Court of Session,"Whoever receives any property knowing the same to have been taken in the commission of any of the offences mentioned in sections 125 and 126, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine and to forfeiture of the property so received.",Low
128,128,Public servant voluntarily allowing prisoner of State or war to escape,"Whoever, being a public servant and having the custody of any State prisoner or prisoner of war, voluntarily allows such prisoner to escape from any place in which such prisoner is confined, shall be punished with imprisonment for life, or imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.",Offences Against the State,"Imprisonment for life, or 10 years, and fine.",Non-Bailable,Court of Session,"Whoever, being a public servant and having the custody of any State prisoner or prisoner of war, voluntarily allows such prisoner to escape from any place in which such prisoner is confined, shall be punished with imprisonment for life, or imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.",Low
129,129,Public servant negligently suffering such prisoner to escape,"Whoever, being a public servant and having the custody of any State prisoner or prisoner of war, negligently suffers such prisoner to escape from any place of confinement in which such prisoner is confined, shall be punished with simple imprisonment for a term which may extend to three years, and shall also be liable to fine.",Offences Against the State,Simple imprisonment for 3 years and fine.,Bailable,Magistrate of the first class,"Whoever, being a public servant and having the custody of any State prisoner or prisoner of war, negligently suffers such prisoner to escape from any place of confinement in which such prisoner is confined, shall be punished with simple imprisonment for a term which may extend to three years, and shall also be liable to fine.",Low
130,130,"Aiding escape of, rescuing or harbouring such prisoner","Whoever knowingly aids or assists any State prisoner or prisoner of war in escaping from lawful custody, or rescues or attempts to rescue any such prisoner, or harbours or conceals any such prisoner who has escaped from lawful custody, shall be punished with imprisonment for life, or imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.",Offences Against the State,"Imprisonment for life, or 10 years, and fine.",Non-Bailable,Court of Session,"Whoever knowingly aids or assists any State prisoner or prisoner of war in escaping from lawful custody, or rescues or attempts to rescue any such prisoner, or harbours or conceals any such prisoner who has escaped from lawful custody, or offers or attempts to offer any resistance to the recapture of such prisoner shall be punished with imprisonment for life, or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.",Low
131,131,"Abetting mutiny, or attempting to seduce a soldier, sailor or airman from his duty","Whoever abets the committing of mutiny by an officer, soldier, sailor or airman, in the Army, Navy or Air Force of the Government of India or attempts to seduce any such officer, soldier, sailor or airman from his allegiance or his duty, shall be punished with imprisonment for life, or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.","Offences relating to the Army, Navy and Air Force","Imprisonment for life, or 10 years, and fine.",Non-Bailable,Court of Session,"Whoever abets the committing of mutiny by an officer, soldier, sailor or airman, in the Army, Navy or Air Force of the Government of India or attempts to seduce any such officer, soldier, sailor or airman from his allegiance or his duty, shall be punished with imprisonment for life, or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.",Low
132,132,"Abetment of mutiny, if mutiny is committed in consequence thereof","Whoever abets the committing of mutiny by an officer, soldier, sailor or airman, in the Army, Navy or Air Force of the Government of India, shall, if mutiny be committed in consequence of that abetment, be punished with death or with imprisonment for life, or imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.","Offences relating to the Army, Navy and Air Force","Death, or imprisonment for life, or 10 years, and fine.",Non-Bailable,Court of Session,"Whoever abets the committing of mutiny by an officer, soldier, sailor or airman, in the Army, Navy or Air Force of the Government of India, shall, if mutiny be committed in consequence of that abetment, be punished with death or with imprisonment for life, or imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.",High
133,133,"Abetment of assault by soldier, sailor or airman on his superior officer, when in execution of his office","Whoever abets an assault by an officer, soldier, sailor or airman, in the Army, Navy or Air Force of the Government of India, on any superior officer being in the execution of his office, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine.","Offences relating to the Army, Navy and Air Force",Imprisonment for 3 years and fine.,Bailable,Any Magistrate,"Whoever abets an assault by an officer, soldier, sailor or airman, in the Army, Navy or Air Force of the Government of India, on any superior officer being in the execution of his office, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine.",Medium
134,134,"Abetment of such assault, if the assault is committed","Whoever abets an assault by an officer, soldier, sailor or airman, in the Army, Navy or Air Force of the Government of India, on any superior officer being in the execution of his office, shall, if such assault be committed in consequence of that abetment be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.","Offences relating to the Army, Navy and Air Force",Imprisonment for 7 years and fine.,Non-Bailable,Magistrate of the first class,"Whoever abets an assault by an officer, soldier, sailor or airman, in the Army, Navy or Air Force of the Government of India, on any superior officer being in the execution of his office, shall, if such assault be committed in consequence of that abetment be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.",Medium
135,135,"Abetment of desertion of soldier, sailor or airman","Whoever, abets the desertion of any officer, soldier, sailor or airman, in the Army, Navy or Air Force of the Government of India, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.","Offences relating to the Army, Navy and Air Force","Imprisonment for 2 years, or fine, or both.",Bailable,Any Magistrate,"Whoever, abets the desertion of any officer, soldier, sailor or airman, in the Army, Navy or Air Force of the Government of India, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",Low
136,136,Harbouring deserter,"Whoever, except as hereinafter excepted, knowing or having reason to believe that an officer, soldier, sailor or airman, in the Army, Navy or Air Force of the Government of India, has deserted, harbours such officer, soldier, sailor or airman, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine or with both.","Offences relating to the Army, Navy and Air Force","Imprisonment for 2 years, or fine, or both.",Bailable,Any Magistrate,"Whoever, except as hereinafter excepted, knowing or having reason to believe that an officer, soldier, sailor or airman, in the Army, Navy or Air Force of the Government of India, has deserted, harbours such officer, soldier, sailor or airman, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine or with both. Exception.—This provision does not extend to the case in which the harbour is given by a wife to her husband.",Low
137,137,Deserter concealed on board merchant vessel through negligence of master,"The master or person in charge of a merchant vessel, on board of which any deserter from the Army, Navy or Air Force of the Government of India is concealed, shall, though ignorant of such concealment, be liable to a penalty not exceeding five hundred rupees, if he might have known of such concealment but for some neglect of his duty.","Offences relating to the Army, Navy and Air Force",Fine of 500 rupees.,Non-cognizable,Any Magistrate,"The master or person in charge of a merchant vessel, on board of which any deserter from the Army, Navy or Air Force of the Government of India is concealed, shall, though ignorant of such concealment, be liable to a penalty not exceeding five hundred rupees, if he might have known of such concealment but for some neglect of his duty as such master or person in charge, or but for some want of discipline on board the vessel.",Low
138,138,"Abetment of act of insubordination by soldier, sailor or airman","Whoever abets what he knows to be an act of insubordination by an officer, soldier, sailor or airman, in the Army, Navy or Air Force of the Government of India, shall, if such act of insubordination be committed in consequence of that abetment, be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both.","Offences relating to the Army, Navy and Air Force","Imprisonment for 6 months, or fine, or both.",Bailable,Any Magistrate,"Whoever abets what he knows to be an act of insubordination by an officer, soldier, sailor or airman, in the Army, Navy or Air Force of the Government of India, shall, if such act of insubordination be committed in consequence of that abetment, be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both.",Low
139,139,Persons subject to certain Acts,"No person subject to the Army Act, the Army Act, 1950, the Naval Discipline Act, the Indian Navy (Discipline) Act, 1934, the Air Force Act or the Air Force Act, 1950, is subject to punishment under this Code for any of the offences defined in this Chapter.","Offences relating to the Army, Navy and Air Force",Not Applicable,Not Applicable,Not Applicable,"No person subject to the Army Act, the Army Act, 1950 (46 of 1950), the Naval Discipline Act, the Indian Navy (Discipline) Act, 1934 (34 of 1934), the Air Force Act or the Air Force Act, 1950 (45 of 1950), is subject to punishment under this Code for any of the offences defined in this Chapter.",Low
140,140,"Wearing garb or carrying token used by soldier, sailor or airman","Whoever, not being a soldier, sailor or airman in the Military, Naval or Air service of the Government of India, wears any garb or carries any token resembling any garb or token used by such a soldier, sailor or airman with the intention that it may be believed that he is such a soldier, sailor or airman, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine which may extend to five hundred rupees, or with both.","Offences relating to the Army, Navy and Air Force","Imprisonment for 3 months, or fine of 500 rupees, or both.",Bailable,Any Magistrate,"Whoever, not being a soldier, sailor or airman in the Military, Naval or Air service of the Government of India, wears any garb or carries any token resembling any garb or token used by such a soldier, sailor or airman with the intention that it may be believed that he is such a soldier, sailor or airman, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine which may extend to five hundred rupees, or with both.",Low
141,141,Unlawful assembly,"An assembly of five or more persons is designated an ""unlawful assembly"", if the common object of the persons composing that assembly is to overawe by criminal force the Government, or to resist the execution of any law, or to commit any mischief or criminal trespass, or other offence.",Offences against the Public Tranquillity,Punishable under Section 143,Bailable,Any Magistrate,"An assembly of five or more persons is designated an “unlawful assembly”, if the common object of the persons composing that assembly is— First.—To overawe by criminal force, or show of criminal force, the Central or any State Government or Parliament or the Legislature of any State, or any public servant in the exercise of the lawful power of such public servant; or Second.—To resist the execution of any law, or of any legal process;...",Low
142,142,Being member of unlawful assembly,"Whoever, being aware of facts which render any assembly an unlawful assembly, intentionally joins that assembly, or continues in it, is said to be a member of an unlawful assembly.",Offences against the Public Tranquillity,Punishable under Section 143,Bailable,Any Magistrate,"Whoever, being aware of facts which render any assembly an unlawful assembly, intentionally joins that assembly, or continues in it, is said to be a member of an unlawful assembly.",Low
143,143,Punishment,"Whoever is a member of an unlawful assembly, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both.",Offences against the Public Tranquillity,"Imprisonment for 6 months, or fine, or both.",Bailable,Any Magistrate,"Whoever is a member of an unlawful assembly, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both.",Low
144,144,Joining unlawful assembly armed with deadly weapon,"Whoever, being armed with any deadly weapon, or with anything which, used as a weapon of offence, is likely to cause death, is a member of an unlawful assembly, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",Offences against the Public Tranquillity,"Imprisonment for 2 years, or fine, or both.",Bailable,Any Magistrate,"Whoever, being armed with any deadly weapon, or with anything which, used as a weapon of offence, is likely to cause death, is a member of an unlawful assembly, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",High
145,145,"Joining or continuing in unlawful assembly, knowing it has been commanded to disperse","Whoever joins or continues in an unlawful assembly, knowing that such unlawful assembly has been commanded in the manner prescribed by law to disperse, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",Offences against the Public Tranquillity,"Imprisonment for 2 years, or fine, or both.",Bailable,Any Magistrate,"Whoever joins or continues in an unlawful assembly, knowing that such unlawful assembly has been commanded in the manner prescribed by law to disperse, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",Low
146,146,Rioting,"Whenever force or violence is used by an unlawful assembly, or by any member thereof, in prosecution of the common object of such assembly, every member of such assembly is guilty of the offence of rioting.",Offences against the Public Tranquillity,Punishable under Section 147,Bailable,Any Magistrate,"Whenever force or violence is used by an unlawful assembly, or by any member thereof, in prosecution of the common object of such assembly, every member of such assembly is guilty of the offence of rioting.",Medium
147,147,Punishment for rioting,"Whoever is guilty of rioting, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",Offences against the Public Tranquillity,"Imprisonment for 2 years, or fine, or both.",Bailable,Any Magistrate,"Whoever is guilty of rioting, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",Medium
148,148,"Rioting, armed with deadly weapon","Whoever is guilty of rioting, being armed with a deadly weapon or with anything which, used as a weapon of offence, is likely to cause death, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both.",Offences against the Public Tranquillity,"Imprisonment for 3 years, or fine, or both.",Bailable,Magistrate of the first class,"Whoever is guilty of rioting, being armed with a deadly weapon or with anything which, used as a weapon of offence, is likely to cause death, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both.",High
149,149,Every member of unlawful assembly guilty of offence committed in prosecution of common object,"If an offence is committed by any member of an unlawful assembly in prosecution of the common object of that assembly, or such as the members of that assembly knew to be likely to be committed in prosecution of that object, every person who, at the time of the committing of that offence, is a member of the same assembly, is guilty of that offence.",Offences against the Public Tranquillity,Same as for the offence,Same as for the offence,Court by which offence is triable,"If an offence is committed by any member of an unlawful assembly in prosecution of the common object of that assembly, or such as the members of that assembly knew to be likely to be committed in prosecution of that object, every person who, at the time of the committing of that offence, is a member of the same assembly, is guilty of that offence.",Low
150,150,"Hiring, or conniving at hiring, of persons to join unlawful assembly","Whoever hires or engages, or employs, or promotes, or connives at the hiring, engagement or employment of any person to join or become a member of any unlawful assembly, shall be punishable as a member of such unlawful assembly.",Offences against the Public Tranquillity,Same as for a member of such assembly,Bailable,Any Magistrate,"Whoever hires or engages, or employs, or promotes, or connives at the hiring, engagement or employment of any person to join or become a member of any unlawful assembly, shall be punishable as a member of such unlawful assembly, and for any offence which may be committed by any such person as a member of such unlawful assembly.",Low
151,151,Knowingly joining or continuing in assembly of five or more persons after it has been commanded to disperse,"Whoever knowingly joins or continues in any assembly of five or more persons likely to cause a disturbance of the public peace, after such assembly has been lawfully commanded to disperse, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both.",Offences against the Public Tranquillity,"Imprisonment for 6 months, or fine, or both.",Bailable,Any Magistrate,"Whoever knowingly joins or continues in any assembly of five or more persons likely to cause a disturbance of the public peace, after such assembly has been lawfully commanded to disperse, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both.",Low
152,152,"Assaulting or obstructing public servant when suppressing riot, etc.","Whoever assaults or threatens to assault, or obstructs or attempts to obstruct, any public servant in the discharge of his duty as such public servant, in endeavouring to disperse an unlawful assembly, or to suppress a riot or affray, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both.",Offences against the Public Tranquillity,"Imprisonment for 3 years, or fine, or both.",Non-Bailable,Magistrate of the first class,"Whoever assaults or threatens to assault, or obstructs or attempts to obstruct, any public servant in the discharge of his duty as such public servant, in endeavouring to disperse an unlawful assembly, or to suppress a riot or affray, or uses, or threatens, or attempts to use criminal force to such public servant, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both.",Medium
153,153,Wantonly giving provocation with intent to cause riot—if rioting be committed—if not committed,"Whoever malignantly, or wantonly by doing anything which is illegal, gives provocation to any person intending or knowing it to be likely that such provocation will cause the offence of rioting to be committed, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both.",Offences against the Public Tranquillity,"If rioting be committed, imprisonment for 1 year, or fine, or both; if not committed, 6 months, or fine, or both.",Bailable,Any Magistrate,"Whoever malignantly, or wantonly by doing anything which is illegal, gives provocation to any person intending or knowing it to be likely that such provocation will cause the offence of rioting to be committed, shall, if the offence of rioting be committed in consequence of such provocation, be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both; and if the offence of rioting be not committed, with imprisonment of either description for a term which may extend to six months, or with fine, or with both.",Medium
153A,153A,"Promoting enmity between different groups on grounds of religion, race, place of birth, residence, language, etc., and doing acts prejudicial to maintenance of harmony","Whoever by words, either spoken or written, or by signs or by visible representations or otherwise, promotes or attempts to promote, on grounds of religion, race, place of birth, residence, language, caste or community or any other ground whatsoever, disharmony or feelings of enmity, hatred or ill-will between different religious, racial, language or regional groups or castes or communities.",Offences against the Public Tranquillity,"Imprisonment for 3 years, or fine, or both.",Non-Bailable,Magistrate of the first class,"Whoever (a) by words, either spoken or written, or by signs or by visible representations or otherwise, promotes or attempts to promote, on grounds of religion, race, place of birth, residence, language, caste or community or any other ground whatsoever, disharmony or feelings of enmity, hatred or ill-will between different religious, racial, language or regional groups or castes or communities, or (b) commits any act which is prejudicial to the maintenance of harmony... and which disturbs or is likely to disturb the public tranquillity... shall be punished with imprisonment which may extend to three years, or with fine, or with both.",Low
153B,153B,"Imputations, assertions prejudicial to national-integration","Whoever, by words either spoken or written or by signs or by visible representations or otherwise, makes or publishes any imputation that any class of persons cannot, by reason of their being members of any religious, racial, language or regional group or caste or community, bear true faith and allegiance to the Constitution of India as by law established or uphold the sovereignty and integrity of India.",Offences against the Public Tranquillity,"Imprisonment for 3 years, or fine, or both.",Non-Bailable,Magistrate of the first class,"Whoever, by words either spoken or written or by signs or by visible representations or otherwise,— (a) makes or publishes any imputation that any class of persons cannot, by reason of their being members of any religious, racial, language or regional group or caste or community, bear true faith and allegiance to the Constitution of India as by law established or uphold the sovereignty and integrity of India, or...",Low
154,154,Owner or occupier of land on which an unlawful assembly is held,"Whenever any unlawful assembly or riot takes place, the owner or occupier of the land upon which such unlawful assembly is held, or such riot is committed, and any person having or claiming an interest in such land, shall be punishable with fine not exceeding one thousand rupees.",Offences against the Public Tranquillity,Fine of 1000 rupees.,Bailable,Any Magistrate,"Whenever any unlawful assembly or riot takes place, the owner or occupier of the land upon which such unlawful assembly is held, or such riot is committed, and any person having or claiming an interest in such land, shall be punishable with fine not exceeding one thousand rupees, if he or his agent or manager, knowing that such offence is being or has been committed, or having reason to believe it is likely to be committed, do not forthwith give notice thereof to the principal officer at the nearest police-station, and do not, in the case of his or their having reason to believe that it was about to be committed, use all lawful means in his or their power to prevent it and, in the event of its taking place, do not use all lawful means in his or their power to disperse or suppress the riot or unlawful assembly.",Low
155,155,Liability of person for whose benefit riot is committed,"Whenever a riot is committed for the benefit or on behalf of any person who is the owner or occupier of any land respecting which such riot takes place or who claims any interest in such land, such person shall be punishable with fine, if he or his agent or manager, having reason to believe that such riot was likely to be committed or that the unlawful assembly by which such riot was committed was likely to be held, shall not use all lawful means in his or their power to prevent such assembly or riot from taking place, and for suppressing and dispersing the same.",Offences against the Public Tranquillity,Fine,Bailable,Any Magistrate,"Whenever a riot is committed for the benefit or on behalf of any person who is the owner or occupier of any land respecting which such riot takes place or who claims any interest in such land, or in the subject of any dispute which gave rise to the riot, or who has accepted or derived any benefit therefrom, such person shall be punishable with fine, if he or his agent or manager, having reason to believe that such riot was likely to be committed or that the unlawful assembly by which such riot was committed was likely to be held, shall not use all lawful means in his or their power to prevent such assembly or riot from taking place, and for suppressing and dispersing the same.",Low
156,156,Liability of agent of owner or occupier for whose benefit riot is committed,"Whenever a riot is committed for the benefit of any person who is the owner or occupier of any land, the agent or manager of such person shall be punishable with fine, if such agent or manager, having reason to believe that such riot was likely to be committed, shall not use all lawful means in his power to prevent such riot from taking place.",Offences against the Public Tranquillity,Fine,Bailable,Any Magistrate,"Whenever a riot is committed for the benefit or on behalf of any person who is the owner or occupier of any land respecting which such riot takes place, or who claims any interest in such land, or in the subject of any dispute which gave rise to the riot, or who has accepted or derived any benefit therefrom, the agent or manager of such person shall be punishable with fine, if such agent or manager, having reason to believe that such riot was likely to be committed, or that the unlawful assembly by which such riot was committed was likely to be held, shall not use all lawful means in his power to prevent such riot from taking place and for suppressing and dispersing the same.",Low
157,157,Harbouring persons hired for an unlawful assembly,"Whoever harbours, receives or assembles, in any house or premises in his occupation or charge, or under his control any persons, knowing that such persons have been hired, engaged or employed, or are about to be hired, engaged or employed, to join or become members of an unlawful assembly, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both.",Offences against the Public Tranquillity,"Imprisonment for 6 months, or fine, or both.",Bailable,Any Magistrate,"Whoever harbours, receives or assembles, in any house or premises in his occupation or charge, or under his control any persons, knowing that such persons have been hired, engaged or employed, or are about to be hired, engaged or employed, to join or become members of an unlawful assembly, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both.",Low
158,158,Being hired to take part in an unlawful assembly or riot,"Whoever is engaged, or offers or attempts to be engaged or hired, to do or assist in doing any of the acts specified in section 141, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both.",Offences against the Public Tranquillity,"Imprisonment for 6 months, or fine, or both; if armed, 2 years.",Bailable,Any Magistrate,"Whoever is engaged or hired, or offers or attempts to be engaged or hired, to do or assist in doing any of the acts specified in section 141, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both; and whoever, being so engaged or hired as aforesaid, goes armed with any deadly weapon or with anything which used as a weapon of offence is likely to cause death, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",Low
159,159,Affray,"When two or more persons, by fighting in a public place, disturb the public peace, they are said to ""commit an affray"".",Offences against the Public Tranquillity,Punishable under Section 160,Bailable,Any Magistrate,"When two or more persons, by fighting in a public place, disturb the public peace, they are said to “commit an affray”.",Low
160,160,Punishment for committing affray,"Whoever commits an affray, shall be punished with imprisonment of either description for a term which may extend to one month, or with fine which may extend to one hundred rupees, or with both.",Offences against the Public Tranquillity,"Imprisonment for 1 month, or fine of 100 rupees, or both.",Bailable,Any Magistrate,"Whoever commits an affray, shall be punished with imprisonment of either description for a term which may extend to one month, or with fine which may extend to one hundred rupees, or with both.",Low
161,161,Public servant taking gratification other than legal remuneration in respect of an official act,"Repealed by the Prevention of Corruption Act, 1988.",Offences by or relating to Public Servants,Repealed,Repealed,Repealed,"Repealed by the Prevention of Corruption Act, 1988 (49 of 1988).",Low
162,162,"Taking gratification, in order, by corrupt or illegal means, to influence public servant","Repealed by the Prevention of Corruption Act, 1988.",Offences by or relating to Public Servants,Repealed,Repealed,Repealed,"Repealed by the Prevention of Corruption Act, 1988 (49 of 1988).",Low
163,163,"Taking gratification, for exercise of personal influence with public servant","Repealed by the Prevention of Corruption Act, 1988.",Offences by or relating to Public Servants,Repealed,Repealed,Repealed,"Repealed by the Prevention of Corruption Act, 1988 (49 of 1988).",Low
164,164,Punishment for abetment by public servant of offences defined in section 162 or 163,"Repealed by the Prevention of Corruption Act, 1988.",Offences by or relating to Public Servants,Repealed,Repealed,Repealed,"Repealed by the Prevention of Corruption Act, 1988 (49 of 1988).",Low
165,165,"Public servant obtaining valuable thing, without consideration, from person concerned in any proceeding or business transacted by such public servant","Repealed by the Prevention of Corruption Act, 1988.",Offences by or relating to Public Servants,Repealed,Repealed,Repealed,"Repealed by the Prevention of Corruption Act, 1988 (49 of 1988).",Low
165A,165A,Punishment for abetment of offences defined in section 161 or section 165,"Repealed by the Prevention of Corruption Act, 1988.",Offences by or relating to Public Servants,Repealed,Repealed,Repealed,"Repealed by the Prevention of Corruption Act, 1988 (49 of 1988).",Low
166,166,"Public servant disobeying law, with intent to cause injury to any person","Whoever, being a public servant, knowingly disobeys any direction of the law as to the way in which he is to conduct himself as such public servant, intending to cause, or knowing it to be likely that he will, by such disobedience, cause injury to any person, shall be punished with simple imprisonment for a term which may extend to one year, or with fine, or with both.",Offences by or relating to Public Servants,"Simple imprisonment for 1 year, or fine, or both.",Bailable,Any Magistrate,"Whoever, being a public servant, knowingly disobeys any direction of the law as to the way in which he is to conduct himself as such public servant, intending to cause, or knowing it to be likely that he will, by such disobedience, cause injury to any person, shall be punished with simple imprisonment for a term which may extend to one year, or with fine, or with both.",Low
166A,166A,Public servant disobeying direction under law,"Whoever, being a public servant, knowingly disobeys any direction of the law which prohibits him from requiring the attendance at any place of any person for the purpose of investigation into an offence or any other matter, or knowingly disobeys, to the prejudice of any person, any other direction of the law regulating the manner in which he shall conduct such investigation.",Offences by or relating to Public Servants,"Rigorous imprisonment for 6 months to 2 years, and fine.",Cognizable/Bailable,Any Magistrate,"Whoever, being a public servant,— (a) knowingly disobeys any direction of the law which prohibits him from requiring the attendance at any place of any person for the purpose of investigation into an offence or any other matter, or (b) knowingly disobeys, to the prejudice of any person, any other direction of the law regulating the manner in which he shall conduct such investigation, or (c) fails to record any information given to him under sub-section (1) of section 154 of the Code of Criminal Procedure, 1973, in relation to cognizable offence punishable under section 326A, section 326B, section 354, section 354B, section 370, section 370A, section 376, section 376A, section 376B, section 376C, section 376D, section 376E or section 509, shall be punished with rigorous imprisonment for a term which shall not be less than six months but which may extend to two years, and shall also be liable to fine.",Low
166B,166B,Punishment for non-treatment of victim,"Whoever, being in charge of a hospital, public or private, whether run by the Central Government, the State Government, a local body or any other person, contravenes the provisions of section 357C of the Code of Criminal Procedure, 1973, shall be punished with imprisonment for a term which may extend to one year, or with fine, or with both.",Offences by or relating to Public Servants,"Imprisonment for 1 year, or fine, or both.",Cognizable/Bailable,Any Magistrate,"Whoever, being in charge of a hospital, public or private, whether run by the Central Government, the State Government, a local body or any other person, contravenes the provisions of section 357C of the Code of Criminal Procedure, 1973, shall be punished with imprisonment for a term which may extend to one year, or with fine, or with both.",Low
167,167,Public servant framing an incorrect document with intent to cause injury,"Whoever, being a public servant, and being, as such public servant, charged with the preparation or translation of any document or electronic record, frames, prepares or translates that document or electronic record in a manner which he knows or believes to be incorrect, intending thereby to cause or knowing it to be likely that he may thereby cause injury to any person, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both.",Offences by or relating to Public Servants,"Imprisonment for 3 years, or fine, or both.",Bailable,Magistrate of the first class,"Whoever, being a public servant, and being, as such public servant, charged with the preparation or translation of any document or electronic record, frames, prepares or translates that document or electronic record in a manner which he knows or believes to be incorrect, intending thereby to cause or knowing it to be likely that he may thereby cause injury to any person, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both.",Low
168,168,Public servant unlawfully engaging in trade,"Whoever, being a public servant, and being legally bound as such public servant not to engage in trade, engages in trade, shall be punished with simple imprisonment for a term which may extend to one year, or with fine, or with both.",Offences by or relating to Public Servants,"Simple imprisonment for 1 year, or fine, or both.",Bailable,Any Magistrate,"Whoever, being a public servant, and being legally bound as such public servant not to engage in trade, engages in trade, shall be punished with simple imprisonment for a term which may extend to one year, or with fine, or with both.",Low
169,169,Public servant unlawfully buying or bidding for property,"Whoever, being a public servant, and being legally bound as such public servant, not to purchase or bid for certain property, purchases or bids for that property, either in his own name or in the name of another, or jointly, or in shares with others, shall be punished with simple imprisonment for a term which may extend to two years, or with fine, or with both; and the property, if purchased, shall be confiscated.",Offences by or relating to Public Servants,"Simple imprisonment for 2 years, or fine, or both, and confiscation of property.",Bailable,Any Magistrate,"Whoever, being a public servant, and being legally bound as such public servant, not to purchase or bid for certain property, purchases or bids for that property, either in his own name or in the name of another, or jointly, or in shares with others, shall be punished with simple imprisonment for a term which may extend to two years, or with fine, or with both; and the property, if purchased, shall be confiscated.",Low
170,170,Personating a public servant,"Whoever pretends to hold any particular office as a public servant, knowing that he does not hold such office or falsely personates any other person holding such office, and in such assumed character does or attempts to do any act under colour of such office, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",Offences by or relating to Public Servants,"Imprisonment for 2 years, or fine, or both.",Cognizable/Bailable,Any Magistrate,"Whoever pretends to hold any particular office as a public servant, knowing that he does not hold such office or falsely personates any other person holding such office, and in such assumed character does or attempts to do any act under colour of such office, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",Low
